,Unnamed: 0,year,negative,positive,Topic,decade,num_conflicts,avg_hostility,total_fatalities,life_expectancy,democracy_frequency,economy_frequency,equality_frequency,freedom_frequency,justice_frequency,liberty_frequency,num_conflicts_lag1,avg_hostility_lag1,total_fatalities_lag1,num_conflicts_lag5,avg_hostility_lag5,total_fatalities_lag5,num_conflicts_lag10,avg_hostility_lag10,total_fatalities_lag10,log_gdp_percap,log_sentiment
525,555,1920-01-01,0.0,0.0,gdp_percap,1920,0.0,0.0,0.0,54.1,0.510229267303779,0.1113049777765683,0.1303889346629864,0.1857925005956182,0.2426426941835163,0.257201144339259,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.71734581658521,8.71734581658521
1569,1909,1921-01-01,0.0,0.0,liberty_frequency,1920,3.0,2.6666666666666665,0.0,54.66,0.4678742785818735,0.1048147216450317,0.1648324508283423,0.1725111322178695,0.2298431788881742,0.2444197990767932,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.736020413743711,3.265744735721279e-05
675,705,1921-01-01,0.0,0.0,Life_expectancy,1920,3.0,2.6666666666666665,0.0,54.66,0.4678742785818735,0.1048147216450317,0.1648324508283423,0.1725111322178695,0.2298431788881742,0.2444197990767932,3.0,2.6666666666666665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.736020413743711,4.019261756097745
1420,1708,1921-01-01,0.0,0.0,justice_frequency,1920,3.0,2.6666666666666665,0.0,54.66,0.4678742785818735,0.1048147216450317,0.1648324508283423,0.1725111322178695,0.2298431788881742,0.2444197990767932,3.0,2.6666666666666665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.736020413743711,5.729843040646129e-05
221,221,1921-01-01,0.053,0.09295,Freedom,1920,3.0,2.6666666666666665,0.0,54.66,0.4678742785818735,0.1048147216450317,0.1648324508283423,0.1725111322178695,0.2298431788881742,0.2444197990767932,3.0,2.6666666666666665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.736020413743711,0.5990590038056659
412,412,1921-01-01,0.05295,0.1136,Democracy,1920,3.0,2.6666666666666665,0.0,54.66,0.4678742785818735,0.1048147216450317,0.1648324508283423,0.1725111322178695,0.2298431788881742,0.2444197990767932,3.0,2.6666666666666665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.736020413743711,0.6927621064284175
526,556,1921-01-01,0.0,0.0,gdp_percap,1920,3.0,2.6666666666666665,0.0,54.66,0.4678742785818735,0.1048147216450317,0.1648324508283423,0.1725111322178695,0.2298431788881742,0.2444197990767932,3.0,2.6666666666666665,0.0,3.0,2.6666666666666665,0.0,0.0,0.0,0.0,8.736020413743711,8.736020413743711
1271,1507,1921-01-01,0.0,0.0,freedom_frequency,1920,3.0,2.6666666666666665,0.0,54.66,0.4678742785818735,0.1048147216450317,0.1648324508283423,0.1725111322178695,0.2298431788881742,0.2444197990767932,3.0,2.6666666666666665,0.0,3.0,2.6666666666666665,0.0,0.0,0.0,0.0,8.736020413743711,3.899831364053228e-05
824,904,1921-01-01,0.0,0.0,economy_frequency,1920,3.0,2.6666666666666665,0.0,54.66,0.4678742785818735,0.1048147216450317,0.1648324508283423,0.1725111322178695,0.2298431788881742,0.2444197990767932,3.0,2.6666666666666665,0.0,3.0,2.6666666666666665,0.0,0.0,0.0,0.0,8.736020413743711,3.150777354008096e-05
3,3,1921-01-01,0.0451,0.0957,Economy,1920,3.0,2.6666666666666665,0.0,54.66,0.4678742785818735,0.1048147216450317,0.1648324508283423,0.1725111322178695,0.2298431788881742,0.2444197990767932,3.0,2.6666666666666665,0.0,3.0,2.6666666666666665,0.0,0.0,0.0,0.0,8.736020413743711,0.6386619552714947
