,year,composite,negative,positive,Topic
,1949,0.647365,0.0625,0.09635,Democracy
,1950,0.59799,0.0614,0.0971,Democracy
,1951,0.79754,0.07645,0.12795,Democracy
,1952,0.79804,0.06315,0.1003,Democracy
,1953,0.99205,0.0525,0.1029,Democracy
,1954,0.892515,0.05535,0.11645,Democracy
,1955,0.799655,0.0521,0.0978,Democracy
,1956,0.99423,0.05385,0.1117,Democracy
,1957,0.82932,0.0509,0.10305,Democracy
,1958,0.996545,0.0487,0.10635,Democracy
,1959,0.89743,0.05895,0.10315,Democracy
,1960,0.79917,0.05305,0.0928,Democracy
,1961,0.59718,0.05895,0.10315,Democracy
,1962,0.80856,0.0544,0.1004,Democracy
,1963,0.998315,0.0427,0.09635,Democracy
