Month,all fuels (utility-scale) thousand megawatthours,coal thousand megawatthours,natural gas thousand megawatthours,nuclear thousand megawatthours,conventional hydroelectric thousand megawatthours,wind thousand megawatthours,all solar thousand megawatthours
2005-10-01,316397.92361,162436.79301,55940.88089,61235.597,18006.36026,1446.18982,
2005-09-01,350217.80051,171656.21549,73355.48269,66738.979,17363.68401,1468.34696,
2005-08-01,404940.68107,187573.75443,100786.65435,71381.55,21565.67882,1138.03152,
2005-07-01,402273.84646,186090.75719,96819.41031,71070.011,25956.84152,1420.94183,
2005-06-01,363671.63602,174866.99726,75635.49254,66144.275,26782.98993,1796.92435,
2005-05-01,315062.10994,153957.96154,54826.00402,62970.464,27278.51096,1746.42955,
2005-04-01,289562.39987,143083.23903,52016.28598,55484.01,23058.35863,1697.5037,
2005-03-01,317458.27645,163612.7005,51896.97271,61538.53,22936.06749,1560.62565,
2005-02-01,298500.31558,155818.01413,44912.61665,60946.934,21606.77394,966.48178,
2005-01-01,343121.45336,177013.90662,51337.62707,69828.239,24272.16485,1131.5685,
2004-12-01,341947.96342,176755.20145,51309.56547,68616.627,26210.71849,1172.00867,
2004-11-01,302101.2562,157435.99421,49693.03398,58940.863,20937.04438,932.203,
2004-10-01,312450.22288,157605.0954,57228.81399,62530.352,18862.7954,1028.87272,
2004-09-01,335622.19789,164252.92334,67853.99334,65932.057,20525.26137,1089.61523,
2004-08-01,368439.03706,178181.34259,77820.68835,71068.483,21591.96742,1050.71885,
2004-07-01,377331.69713,181491.82062,79290.02224,71975.04,23318.27953,1164.37009,
2004-06-01,345085.07883,167641.90627,64685.66904,67734.073,25252.34503,1397.20574,
2004-05-01,327380.26364,157016.37723,62021.80807,64917.412,24019.71812,1701.65148,
2004-04-01,290559.91417,141470.95622,51821.98826,58620.255,20887.97481,1294.8568,
2004-03-01,308812.09552,154288.41916,49801.1869,63285.116,22914.28123,1291.224,
2004-02-01,314279.90954,161503.09216,50319.87478,64101.949,20913.61671,1021.56897,
2004-01-01,346545.62699,180657.42054,48253.37213,70806.16,22983.30588,999.44521,
2003-12-01,331680.43,176291.473,44034.895,68611.699,24044.33,1104.881,
2003-11-01,297866.711,158223.194,45327.919,59600.02,19715.265,961.432,
2003-10-01,306740.933,159322.942,51824.169,60016.207,18428.423,897.161,
2003-09-01,323135.534,164910.002,59089.943,63583.645,18480.455,895.054,
2003-08-01,381816.319,185331.823,83249.694,69023.878,22972.03,815.429,
2003-07-01,374396.05,181852.318,76938.278,69652.754,24843.095,953.396,
2003-06-01,328693.698,162284.63,54452.951,64180.727,28586.3,1047.144,
2003-05-01,307544.887,150262.977,49372.963,62201.96,29395.256,1006.383,
2003-04-01,285755.699,141959.981,45195.383,56775.591,24758.962,1092.766,
2003-03-01,304317.265,155001.775,46699.026,59933.261,24202.273,1036.104,
2003-02-01,299248.777,156982.481,43546.573,60941.869,19779.86,745.375,
2003-01-01,341988.901,181313.153,50175.746,69211.084,20600.079,632.34,
2002-12-01,324833.705,172189.765,46100.393,68905.472,21668.54,755.194,
2002-11-01,296289.561,156053.655,45160.876,61520.324,19730.029,655.946,
2002-10-01,307059.46,159099.294,54200.82,60493.052,17171.334,734.355,
2002-09-01,331279.434,165366.309,68161.131,64480.79,17086.782,735.828,
2002-08-01,374585.819,179955.447,84476.867,70777.688,21083.924,976.691,
2002-07-01,381542.107,183194.702,83917.269,70420.827,25470.647,890.455,
2002-06-01,341023.144,164667.695,65631.018,66371.896,28212.847,1126.315,
2002-05-01,307674.569,151406.401,50275.237,63032.192,26662.695,1077.641,
2002-04-01,289848.253,142304.595,49146.409,58437.062,24246.605,1024.417,
2002-03-01,302549.011,151485.651,51214.464,63040.647,21008.813,852.102,
2002-02-01,281825.712,143048.822,44308.431,61658.274,20191.683,713.932,
2002-01-01,319941.476,164358.018,48412.832,70925.863,21794.932,811.402,
2001-12-01,305496.328,157402.35,47540.861,67430.878,19346.314,615.657,
2001-11-01,278933.942,144116.998,44490.622,62341.711,15412.929,470.448,
2001-10-01,294733.613,148930.816,56376.441,60460.967,15234.503,606.829,
2001-09-01,306928.866,154158.317,60181.14,63378.451,15256.027,490.229,
2001-08-01,370532.828,183116.073,78409.804,68389.496,18913.768,577.206,
2001-07-01,357613.7,179060.41,73030.142,69166.04,18079.119,634.992,
2001-06-01,327693.978,162615.804,57603.154,68023.098,20727.63,669.634,
2001-05-01,300491.621,151592.914,50934.205,61512.445,19175.635,635.029,
2001-04-01,278078.871,140670.654,45842.746,56003.026,18012.994,684.695,
2001-03-01,300706.544,155269.011,44364.414,62140.712,20477.189,532.12,
2001-02-01,282940.198,149735.484,37966.927,61272.407,17472.889,431.242,
2001-01-01,332493.16,177287.111,42388.663,68707.077,18852.048,389.25,
